   392,  -177,  1969,    37,   370,   -48
    97,  -170,  2294,   150,   -42,    50
   134,   -99,  2216,   298,  -397,   195
   368,  -102,  1764,   154,  -110,   254
   428,  -180,  2096,   -68,    95,  -117
   271,    11,  2011,  -290,    88,  -407
   229,    37,  2184,  -204,  -175,  -364
    69,    45,  2088,   -94,  -202,   -77
   171,     5,  2079,     6,  -261,   145
   160,   -74,  2104,   120,  -293,   266
   230,  -203,  2163,    76,  -262,   143
   571,  -212,  1874,    34,  -454,   -25
   239,  -121,  2255,     8,  -751,  -127
   491,  -121,  2070,  -302,  -745,  -322
   357,  -183,  2226,  -528,  -965,  -416
  -123,  -629,  3311, -1050, -1876,  -556
  -529,  -856,  4529, -2364, -4019,  -802
 -6241,  7668,-15801, -5083,-16257,  1366
   859,  -315,  2167, -4373, -4980,  2146
  1078,   508,  2191, -2895, -1893,  1439
  1188,  -959,  1209, -2436, -1625,  1412
  1154, -1382,  1577, -2471, -1752,   540
  1086,  -915,  1395, -3051, -1944,   430
   882, -1286,  1583, -3118, -2299,   190
   922, -1277,  1326, -2380, -2151,   123
  1131, -1564,  1015, -1543, -1934,  -178
  1049, -1597,   796, -1095, -1603,  -460
  1175, -1390,   870, -1316, -1382,  -311
  1227, -1150,   990, -1878, -1557,   150
  1230, -1250,   774, -2148, -1752,   454
  1364, -1371,   406, -1653, -1445,   291
  1338, -1410,   346,  -952, -1153,   -85
  1257, -1100,   496,  -556,  -875,   -85
  1257,  -999,   285,  -444,  -875,   157
  1260, -1205,   166,  -456,  -685,   435
  1284, -1408,     2,  -537,  -480,   574
  1238, -1409,   227,  -733,  -372,   673
  1268, -1635,   262,  -801,  -423,   726
  1277, -1764,   280,  -408,  -525,   396
  1219, -1644,    89,    40,  -425,   171
  1210, -1332,   140,     5,  -380,   424
  1146, -1070,   197,  -578,  -596,  1173
  1149, -1134,   534,  -988,  -807,  1578
  1540, -1995,   234,  -957, -1040,   985
  1424, -1940,   363,  -378, -1503,   514
  1148, -1752,   192,    25, -2135,   314
   974, -1451,   136,   -32, -2515,   599
   543, -1725,    -9,  -921, -2933,  1147
   420, -1705,  -546, -1835, -2814,  1615
   375, -1569,  -330, -1884, -3407,  2137
   724, -2093, -1548, -1044, -2648,  1733
   601, -2176,  -893,   -17, -1565,   936
   839, -1820,  -325,   113, -1139,   595
  1054, -1883,  -305,  -176, -1119,   675
   725, -2000,  -688,  -667, -1076,   516
   256, -1338, -1043, -1400,  -996,  1359
   437, -1683,  -530, -1342,  -808,  2097
   567, -2182,  -651,  -630,  -865,  1728
   555, -2162,  -834,  -388,  -677,  1252
   454, -2142,  -753,  -104,  -844,   665
   164, -2070,  -786,    65,  -916,   140
  -110, -1721, -1025,   -19, -1135,   278
   403, -1852, -1769,  -376,  -299,   410
   385, -1948,  -975,  -524,  -145,   551
   406, -1681,  -549,  -810,  -192,   721
   194, -1754,  -676,  -905,  -730,   863
    60, -1945, -1221,  -426,  -455,   630
   133, -2009,  -962,  -133,    84,   314
    96, -1878, -1003,  -220,   -73,   298
    64, -1941,  -963,    -9,   121,    95
   -51, -1887,  -690,   251,    82,   -86
   -10, -1752,  -981,   336,   244,   -55
   -76, -1797, -1053,   204,   338,    60
   -64, -2126,  -915,     0,   565,   -17
    93, -2204,  -882,    10,   472,  -254
   261, -1848,  -666,    76,   340,  -346
   254, -1414,  -798,   -95,    91,  -116
   101, -1410,  -973,   -78,    89,   129
  -100, -1722, -1098,    11,   215,   162
   -51, -2079,  -876,   -96,   380,   -28
   260, -1756,  -646,   335,   278,  -159
     0, -1305,  -619,   485,  -555,   131
   343, -1907, -1309,   479,  -199,   244
   173, -2031,  -604,   358,  -117,   174
   154, -1891,  -561,   341,  -286,   150
   139, -2057,  -773,   112,  -322,   183
   177, -2451,  -737,   -29,  -470,    18
    -7, -2318,  -822,  -176,  -614,  -193
  -226, -1925, -1114,  -425,  -713,  -187
   -97, -1646, -1036,  -757,  -444,  -104
   117, -1666,  -800, -1118,  -395,   -47
   143, -1717,  -837, -1139,  -539,   -74
   -33, -1497,  -992, -1148,  -390,   154
  -252, -1518, -1087, -1473,  -474,   703
  -245, -1510,  -924, -2226,  -945,  1492
   -73, -1284, -1041, -2053, -1136,  1890
   -46, -1654, -1469, -1592,  -620,  2062
  -223, -1937, -1225, -1110,  -639,  1467
  -459, -1445, -1377,  -587,  -385,   967
  -681,  -927, -1402, -1182,  -783,  1598
  -623, -1050, -1502, -1228,  -807,  2179
  -603, -1815, -1480,  -966,  -847,  1948
  -721, -2161, -1998,  -242,  -404,   480
  -697, -1673, -1733,   107,  -107,  -407
  -385, -1284, -1163,  -228,   209,   127
  -436, -1123, -1016,    19,  -165,   303
  -836,  -866, -1261,    84,  -572,   272
  -945, -1118, -1460,    11,  -844,   360
  -731, -1483, -1612,  -378,  -471,   445
  -557, -1881, -1510,  -543,   -19,   357
  -803, -1458, -1439,  -548,   122,   132
  -823, -1155, -1344,  -459,    64,   225
  -799, -1336, -1521,  -394,   -64,   237
  -880, -1185, -1646,  -412,    89,   102
  -951, -1033, -1461,  -741,   143,   378
  -674, -1585, -1318,  -397,   -32,   204
  -579, -1501, -1550,   127,    32,  -423
